delete,rewrite,text,type,options,tag,auto_label,suggested_options,simulated_answers,grade
,,"If you could ban one thing from existing, what would it be?",multiple_choice,Mosquitoes|War|Hate,,MC (suggested),Mosquitoes|War|Hate,Mosquitoes | Mosquitoes | Mosquitoes | War | Mosquitoes | Mosquitoes | Hate,A
,,What is the least attractive accent?,multiple_choice,Southern American|Bostonian|Southern drawl,,MC (suggested),Southern American|Bostonian|Southern drawl,Southern American | Bostonian | Southern drawl | Southern American | Minnesotan | Southern accent | Southern American,A
,,"If your pet could talk, what would they say about you?",multiple_choice,Feed Me Now!|More Belly Rubs!|Let's Go Outside!|You're My Favorite|Stop That Noise!,,Open (free-form),,"I'm hungry, feed me! | Give me more treats. | Are we eating yet? | You're always busy. | Why don't you play with me more? | Where's my dinner? | I want more food.",A
,,What do you pretend to understand but actually don't?,multiple_choice,The Stock Market|Fine Art|Cryptocurrency|Sports Rules|Wine Pairings,,Open (free-form),,The stock market | Investing strategies | Cryptocurrency | How the economy really works | Quantum physics | The nuances of international politics | How the housing market actually works,A
,,What would be the worst superpower?,multiple_choice,Read peoples thoughts�All of them|See through clothes�All of them|Super smell�All the smells,,MC (suggested),"Always feeling like you have to sneeze but can't|Ability to fly, but only 2 feet off the ground|Turning everything you touch into sand","Always feeling like you have to sneeze but can't | Ability to fly, but only 2 feet off the ground | Always feeling like you have to sneeze but can't | Always feeling like you have to sneeze but can't | Turning everything you touch into sand | Always smelling faintly of tuna | Always feeling like you have to sneeze but can't",B
,,Name something nobody looks cool doing,multiple_choice,Eating a banana|Running for the bus|Applying sunscreen,,MC (suggested),Eating a banana|Running for the bus|Applying sunscreen,Eating a banana | Running for the bus | Eating a banana | Applying sunscreen | Eating a banana | Struggling to open a jar | Eating a banana,B
,,What is the most overrated food?,multiple_choice,Avocado Toast|Sushi|Truffle Fries,,MC-ternary (strong),Avocado Toast|Sushi|Truffle Fries,Avocado Toast | Sushi | Avocado Toast | Sushi | Truffle Fries | Avocado Toast | Sushi,B
,,What is something you would never do for a million dollars?,multiple_choice,Harm an innocent person | Kill an animal | Betray my family | Eat human waste| Torture someone,,MC-ternary (strong),,Harm an innocent person | Kill an animal | Betray my family | Eat human waste | Kill a stranger | Torture someone | Hurt a child,B
,,What is the worst thing to step on barefoot?,multiple_choice,Lego|Glass shard|Dog poop,,MC (suggested),Lego|Glass shard|Dog poop,Lego | Lego | Glass shard | Dog poop | Lego | Thumbtack | Lego,B
,,What is the worst fashion trend of all time?,multiple_choice,Bell bottoms|Mullets|Crocs,,MC (suggested),Low-rise jeans|Mullets|Crocs,Low-rise jeans | Mullets | Crocs | Low rise jeans | Ugg boots | Low-rise jeans | Mullets,B
,,Name something people always say they'll do but never do,multiple_choice,Go to the gym|Stick to a diet|Clean the house,,MC (suggested),Go to the gym|Start a diet|Clean the house,Go to the gym | Start a diet | Go to the gym | Clean the house | Go to the gym | Save money | Go to the gym,B
,,What is the best thing about being home alone?,multiple_choice,Peace and quiet|Doing whatever I want|No judgment,,MC (suggested),Peace and quiet|Doing whatever I want|No judgment,Peace and quiet | Doing whatever I want | No judgment | Watching my own shows | Peace and quiet | Walking around naked | Peace and quiet,B
,,What would be the worst job in the world?,multiple_choice,Porta-potty cleaner|Sewer worker|Garbage collector,,MC-ternary (strong),Porta-potty cleaner|Sewer worker|Garbage collector,Porta-potty cleaner | Sewer worker | Porta-potty cleaner | Garbage collector | Porta-potty cleaner | Sewer worker | Porta-potty cleaner,B
,,What is a socially acceptable thing that is actually weird?,multiple_choice,"Saying ""bless you"" | Tipping culture | Talking to pets like humans |  Shaking hands when meeting someone",,Open (free-form),,"Saying ""bless you"" when someone sneezes | Saying ""bless you"" when someone sneezes | Tipping culture | Saying ""bless you"" to a stranger | Talking to pets like humans | Saying ""bless you"" | Shaking hands when meeting someone",B
,,What is the worst food combination people actually eat?,multiple_choice,Pineapple on pizza|Ketchup on eggs|Pickles and peanut butter,,MC (suggested),Pineapple on pizza|Ketchup on eggs|Pickles and peanut butter,Pineapple on pizza | Ketchup on eggs | Pineapple on pizza | Pickles and peanut butter | Pineapple on pizza | Mayonnaise and french fries (instead of ketchup) | Pineapple on pizza,B
,,What would be the worst theme for a party?,multiple_choice,Funeral|Tax Audit|Hospital,,MC (suggested),Funeral|Tax Audit|Hospital,Funeral | Tax Audit | Funeral | Hospital | Funeral | Funeral | Divorce Party,B
,,What is the most controversial condiment?,multiple_choice,Mayonnaise|Ranch|Mayo,,MC (suggested),Mayonnaise|Ranch|Mayo,Mayonnaise | Mayo | Ranch | Mayonnaise | A-1 sauce | Mayonnaise | Ranch,B
,,What is the most overrated fast food chain?,multiple_choice,McDonald's|Starbucks|Subway,,MC-ternary (strong),McDonald's|Starbucks|Subway,McDonald's | Starbucks | McDonald's | McDonald's | Subway | McDonald's | Starbucks,B
x,,What is the most bougie thing you do regularly?,multiple_choice,Fancy coffee|Organic groceries|Weekly yoga/pilates class,,MC-ternary (strong),Fancy coffee|Organic groceries|Weekly yoga/pilates class,Fancy coffee | Fancy coffee | Organic groceries | Fancy coffee | Organic groceries | Fancy coffee | Weekly yoga/pilates class,B
,,What small thing makes you unreasonably angry?,multiple_choice,Loud chewing|People who don't use turn signals|Not replacing the toilet paper roll,,MC (suggested),Loud chewing|People who don't use turn signals|Not replacing the toilet paper roll,Loud chewing | People who don't use turn signals | Not replacing the toilet paper roll | Loud chewing | People not using their turn signal | Leaving dishes in the sink | Loud chewing,B
,,What is the most ridiculous thing you believed as a kid?,multiple_choice,Swallowed Gum Stays|Quick Sand Everywhere|TV People Live Inside|Seeds Grow In Stomach|Adults Know Everything,,Open (free-form),,"That chewing gum stayed in your stomach for 7 years. | That quicksand was a major threat in everyday life. | That the ice cream truck only played music when it ran out of ice cream. | That the Tooth Fairy was actually real. | That chewing gum stayed in your stomach for seven years. | That if you swallowed a seed, a plant would grow inside you. | Gum staying in your stomach for 7 years.",B
,,What is the worst way to break up with someone?,multiple_choice,Ghosting|Via text message|Through a friend,,MC (suggested),Ghosting|Via text message|Through a friend,Ghosting | Via text message | Ghosting | Through a friend | Ghosting | On their birthday | Text message,B
,,What is the one food everyone thinks they make well but don't?,multiple_choice,Scrambled eggs|Mac and cheese|Grilled cheese,,MC (suggested),Scrambled eggs|Mac and cheese|Grilled cheese,Scrambled eggs | Mac and cheese | Scrambled eggs | Grilled cheese | Scrambled eggs | Pasta | Scrambled eggs,B
x,,What is the worst part of a wedding?,open,,,Open (free-form),,"Awkward small talk with distant relatives | Long, boring speeches | Awkward small talk | The open bar chaos later in the night | Long, boring speeches | Trying to make small talk | The cringe-worthy speeches",B
,,What fictional character would be the worst coworker?,multiple_choice,The Joker|Michael Scott|Michael Scott from The Office|Sheldon Cooper|Dolores Umbridge,,MC (suggested),The Joker|Michael Scott|Michael Scott from The Office,Michael Scott from The Office | Dolores Umbridge | The Joker | Michael Scott | The Joker | Dwight Schrute | Michael Scott,B
,,What would you never name your child?,multiple_choice,Karen|Adolf|Lucifer,,MC (suggested),Karen|Adolf|Lucifer,Adolf | Karen | Lucifer | Karen | Bertha | My ex's name | Karen,B
,,What word is impossible to say in an angry voice?,multiple_choice,Bubbles|Marshmallow|Giggles,,MC (suggested),Bubbles|Marshmallow|Giggles,Bubbles | Marshmallow | Bubbles | Giggles | Bubbles | Puppy | Bubbles,B
,,What everyday activity would be the funniest Olympic sport?,open,,,MC (suggested),Parallel parking|Assembling IKEA furniture|Grocery shopping (the race against the clock),Parallel parking | Assembling IKEA furniture | Parallel parking | Grocery shopping (the race against the clock) | Folding laundry | Parallel parking | Parallel parking,B
,,What is the weirdest thing that is considered normal?,multiple_choice,Small Talk|Paying To Live|Shaking Hands|Saying 'Bless You'|Staring At Screens,,Open (free-form),,Small talk | Social media obsession | Talking to pets | Small talk with strangers | Shaking hands as a greeting | Small talk | Being glued to your phone,B
,,Name a skill that is impressive but completely useless,multiple_choice,Solving A Rubik's Cube|Expert Juggling|Unicycling|Card Flourishes,,Open (free-form),,Solving a Rubik's Cube very quickly | Solving a Rubik's Cube fast | Juggling five balls | Solving a Rubik's Cube blindfolded | Extreme yo-yo tricks | Solving a Rubik's Cube | Knowing how to juggle,B
x,,What would be the worst name for a restaurant?,multiple_choice,The Greasy Spoon|Moldy Delights|E. Coli Cafe,,MC (suggested),The Greasy Spoon|Moldy Delights|E. Coli Cafe,The Greasy Spoon | Moldy Delights | E. Coli Cafe | The Greasy Spoon | Roadkill Grill | Greasy Spoon | The Gassy Spoon,B
x,,What would be on the menu at the world's worst restaurant?,open,,,Open (free-form),,"Mystery meat surprise | Mystery meat | Expired food platter | Warm, flat soda and stale bread | Mystery meatloaf | Unidentifiable grey mush | Mystery meat surprise",B
x,,What would you absolutely not do for $100?,multiple_choice,Public nudity|Eat a bug|Eat a live bug,,MC (suggested),Public nudity|Eat a bug|Eat a live bug,Eat a live bug | Public nudity | Harm an animal | Eat a bug | Public nudity | Commit a crime | Eat a bug,B
,,"If you were a ghost, who would you haunt?",multiple_choice,Donald Trump|My ex-boss|My high school bully,,MC (suggested),Donald Trump|My ex-boss|My high school bully,My ex-boss | Donald Trump | My high school bully | My noisy neighbor | Donald Trump | My ex | Donald Trump,B
,,What is the most suspicious thing you could buy at a hardware store?,multiple_choice,Duct tape and zip ties|A large tarp and shovel|Bleach (gallons of it),,MC (suggested),Duct tape and zip ties|A large tarp and shovel|Bleach (gallons of it),Duct tape and zip ties | A large tarp and shovel | Bleach (gallons of it) | Duct tape and zip ties | Zip ties and duct tape | A large roll of plastic sheeting | Duct tape and zip ties,B
,,What is the cringiest thing you did as a teenager?,multiple_choice,Terrible fashion choices|Trying too hard to be cool|Awkward attempts at flirting,,MC (suggested),Terrible fashion choices|Trying too hard to be cool|Awkward attempts at flirting,Terrible fashion choices | Trying too hard to be cool | Awkward attempts at flirting | Terrible fashion choices | Being overly dramatic | Terrible fashion choices | Trying to impress people,B
x,,What would you never admit on a first date?,multiple_choice,That I stalked them on social media|My deep financial debt|That I live with my parents (at 30+),,MC (suggested),That I stalked them on social media|My deep financial debt|That I live with my parents (at 30+),That I stalked them on social media | My deep financial debt | That I live with my parents (at 30+) | That I stalked them on social media | My past mental health struggles | That I stalked them on social media | That I stalked them on social media,B
x,,What is one thing you do that you know is wrong but keep doing?,open,,,Open (no data),,,
x,,What is the best hot dog topping?,multiple_choice,Mustard|Ketchup and Mustard|Relish,,MC (suggested),Mustard|Ketchup and Mustard|Relish,Mustard | Ketchup and Mustard | Relish | Mustard | Mustard | Ketchup | Mustard,B
,,Name something people argue about in the car,open,Directions|Music choice|The AC temperature,,MC (suggested),Directions|Music choice|The AC temperature,Directions | Music choice | The AC temperature | Where to eat | Directions | Music | Directions,B
,,What is the worst household smell?,multiple_choice,Rotten Food|Garbage|Sewage|Vomit|Bathroom smells,,MC (suggested),Rotten Food|Garbage|Sewage,Rotten Food | Garbage | Rotten Food | Sewage | Rotten Food | Mold | Rotten Food,B
x,,What is the most embarrassing song on your playlist?,multiple_choice,Call Me Maybe|I Want It That Way|Wannabe,,MC (suggested),Call Me Maybe|I Want It That Way|Wannabe,Call Me Maybe | I Want It That Way | Call Me Maybe | Wannabe | Call Me Maybe | Barbie Girl | Call Me Maybe,B
x,,Name something that is only fun the first time,multiple_choice,Skydiving|An escape room|Bungee jumping,,MC (suggested),Skydiving|An escape room|Bungee jumping,Skydiving | An escape room | Bungee jumping | Skydiving | Escape room | Skydiving | Magic trick reveal,B
x,,What is the worst name for a pet?,multiple_choice,Dinner|Roadkill|A human name,,MC (suggested),Dinner|Roadkill|A human name,Dinner | Dinner | Roadkill | A human name | Dinner | Stupid | Dinner,B
x,,What did you think was cool as a kid that is actually embarrassing?,open,,,Open (free-form),,Frosted tips in my hair. | JNCO jeans. | Frosted hair tips. | Wearing a chain wallet. | Frosted tips. | My old skater shoes. | Frosted tips.,B
,,Name an actor who plays the same character in every movie,multiple_choice,Dwayne Johnson|Jason Statham|Adam Sandler|Liam Neeson|Kevin Hart,,MC (suggested),"The Rock|Jason Statham|Dwayne ""The Rock"" Johnson","Dwayne ""The Rock"" Johnson | The Rock | Jason Statham | Adam Sandler | Dwayne Johnson | Jason Statham | The Rock",B
,,What is the most overhyped city?,multiple_choice,Los Angeles|New York City|Paris|Las Vegas,,MC (suggested),Los Angeles|New York City|Paris,"Los Angeles | Paris | New York City | Los Angeles, it's just traffic and smog. | New York City | Dubai | Los Angeles",B
,,What is the most unromantic thing ever?,multiple_choice,Doing Taxes Together|Cleaning The Toilet|Complaining Constantly|Loud Snoring|Discussing Exes,,Open (free-form),,Bad hygiene | Checking your phone constantly | Bad breath | Poor hygiene | Talking about your ex | Checking your phone | Bad hygiene,B
,,What job would you be terrible at?,multiple_choice,Customer service|Accountant|Surgeon|Door to door sales,,MC (suggested),Customer service|Accountant|Surgeon,Customer service | Accountant | Customer service | Surgeon | Customer service | Customer service | Telemarketer,B
,,What two foods should never be combined?,multiple_choice,Pickles And Chocolate|Sardines And Caramel|Cereal And Orange Juice|Ketchup And Ice Cream|Watermelon And Mustard,,MC (suggested),Milk and orange juice|Ketchup and ice cream|Toothpaste and orange juice,Milk and orange juice | Ketchup and ice cream | Milk and orange juice | Toothpaste and orange juice | Ketchup and ice cream | Milk and orange juice | Pineapple on pizza,B
x,,What should you never say to your in-laws?,open,,,Open (free-form),,My mom makes better food | My mom's cooking is better | Are you going to retire? | My ex was better | My mom makes it better | Your son/daughter is a handful | This isn't as good as my mom's,B
x,,What is the most passive aggressive thing someone can do?,open,,,Open (free-form),,The silent treatment | Giving someone the silent treatment | Ignoring someone you're upset with | Saying 'I'm fine' when you're clearly not | The silent treatment | Leaving passive-aggressive notes | Responding with 'Per my last email',B
x,,Name something everyone has but nobody talks about,multiple_choice,Private thoughts|Debt|Body hair,,MC (suggested),Private thoughts|Debt|Body hair,Debt | Private thoughts | Body hair | Secrets | Private thoughts | Insecurities | Private thoughts,B
x,,Name a trend you fell for and now regret,multiple_choice,Skinny jeans|Frosted tips|TikTok challenges,,MC (suggested),Skinny jeans|Frosted tips|TikTok challenges,Skinny jeans | Frosted tips | Skinny jeans | TikTok challenges | Skinny jeans | Low-rise jeans | Skinny jeans,B
,,What is a totally reasonable fear that people make fun of?,multiple_choice,Spiders|Bugs|Clowns,,MC-ternary (strong),Spiders|Bugs|Clowns,Spiders | Bugs | Spiders | Spiders | Clowns | Spiders | Bugs,B
x,,What is the worst thing about buffets?,open,,,Open (free-form),,People's dirty hands on serving utensils | Food sitting out for too long | The sheer number of germs | Overeating and feeling sick | Questionable cleanliness | Cold food that should be hot | People sneezing near the food,B
x,,What is the worst thing to hear at a restaurant?,open,,,Open (free-form),,We're out of that. | We're all out of that item. | The health inspector is here. | There's a hair in your food. | We just ran out of that. | Did something just crawl on the table? | There's a bug in your soup.,B
x,,What sounds like a compliment but is actually an insult?,open,,,Open (no data),,,
,,Name a celebrity who would be terrible at a party,multiple_choice,Kanye West|Elon Musk|Gordon Ramsay|Ben Shapiro|Kristen Stewart,,Open (no data),,,
x,,What job title would make the worst superhero name?,multiple_choice,Accountant|Janitor|Data Entry Clerk,,MC (suggested),Accountant|Janitor|Data Entry Clerk,Accountant | Janitor | Data Entry Clerk | Accountant | Plumber | Accountant | Accountant,B
x,,What is the grossest thing that is totally normal?,multiple_choice,Shaking hands|Using public restrooms|Eating food from a buffet,,MC (suggested),Shaking hands|Using public restrooms|Eating food from a buffet,Shaking hands | Using public restrooms | Shaking hands | Eating food from a buffet | Shaking hands | Blowing your nose loudly | Shaking hands,B
x,,What is the best response to 'we need to talk'?,open,,,Open (free-form),,"About what? | Okay, when? | What's up? | What about? | When are you free? | Is everything okay? | Whenever you're ready.",B
x,,What is the worst possible song to play at a gym?,multiple_choice,My Heart Will Go On|Stairway to Heaven|Yesterday,,MC-ternary (strong),My Heart Will Go On|Stairway to Heaven|Yesterday,My Heart Will Go On | Stairway to Heaven | My Heart Will Go On | Stairway to Heaven | My Heart Will Go On | Yesterday | My Heart Will Go On,B
,,What is the best fast food restaurant?,multiple_choice,Chick-fil-A|McDonald's|In-N-Out Burger|Wendy's|Five Guys,,MC-ternary (strong),Chick-fil-A|McDonald's|In-N-Out Burger,Chick-fil-A | Chick-fil-A | McDonald's | Chick-fil-A | Chick-fil-A | In-N-Out Burger | McDonald's,B
,,"If you could live in any fictional world, which one?",multiple_choice,Marvel Universe|Middle-earth|Star Wars|Pokemon World|Narnia,,MC (suggested),Harry Potter|Harry Potter world|Star Wars,Harry Potter | Harry Potter world | Star Wars | Middle-earth | Harry Potter | Harry Potter | The Shire,B
x,,What is the best condiment?,multiple_choice,Ketchup|Ranch|Mayonnaise,,MC (suggested),Ketchup|Ranch|Mayonnaise,Ketchup | Ranch | Mayonnaise | Ketchup | Ketchup | Ketchup | Mustard,B
,,What is the most overplayed song of all time?,multiple_choice,Don't Stop Believin'|Sweet Caroline|Bohemian Rhapsody|Happy|All Star,,MC (suggested),Don't Stop Believin'|Sweet Caroline|Happy by Pharrell,Don't Stop Believin' | Sweet Caroline | Don't Stop Believin' | Happy by Pharrell | Don't Stop Believin' | Shape of You | Don't Stop Believin',B
,,What is the worst movie sequel?,multiple_choice,Speed 2: Cruise Control|Jaws: The Revenge|Matrix Revolutions|Star Wars: Episode I,,MC (suggested),Speed 2: Cruise Control|Speed 2|Jaws: The Revenge,Speed 2: Cruise Control | Jaws: The Revenge | Speed 2 | Batman & Robin | Speed 2: Cruise Control | Matrix Revolutions | Speed 2,B
,,What is the worst pizza topping?,multiple_choice,Pineapple|Anchovies|Black Olives|Mushrooms|Broccoli,,MC-ternary (strong),Pineapple|Anchovies|Black olives,Pineapple | Anchovies | Pineapple | Black olives | Pineapple | Anchovies | Pineapple,B
,,Name a New Year's resolution nobody actually keeps,open,,,Open (no data),,,
,,What is the hardest thing about being an adult?,multiple_choice,Bills|Responsibility|Financial stress,,MC (suggested),Bills|Responsibility|Financial stress,Bills | Responsibility | Bills | Financial stress | Bills | Making decisions | Bills,B
,,What is the most useless school subject?,open,,,Open (free-form),,Calculus / advanced math | History (all the specific dates and battles) | Trigonometry | Foreign language (if you never use it again) | Physical Education (PE) | Advanced algebra | Latin,B
,,"If aliens landed tomorrow, what would we show them first?",multiple_choice,A Smartphone|A Map Of Earth|The Internet|Human Art|Nature,,MC (suggested),A smartphone|A map of Earth|The internet,A smartphone | A map of Earth | The internet | A smartphone | Food | A smartphone | Our technology,B
,,What animal would be the rudest if it could talk?,multiple_choice,Cat|Goose|Honey Badger|Llama|Chihuahua,,MC (suggested),Cat|Goose|Honey Badger,Cat | Goose | Honey Badger | Cat | Cat | Seagull | Goose,B
,,"If you could uninvent one thing, what would it be?",multiple_choice,Social media|Nuclear weapons|Single-use plastics,,MC (suggested),Social media|Nuclear weapons|Single-use plastics,Social media | Nuclear weapons | Single-use plastics | Mosquitoes | Social media | Nuclear weapons | Social media,B
,,What age does someone become 'old'?,multiple_choice,65|70|60,,MC (suggested),65|70|60,65 | 70 | 65 | 70 | 60 | 65 | 75,B
,,What is the worst candy?,multiple_choice,Black Licorice|Candy Corn|Circus Peanuts|Necco Wafers,,MC-ternary (strong),Black licorice|Candy Corn|Circus Peanuts,Black licorice | Black licorice | Black licorice | Candy Corn | Candy Corn | Circus Peanuts | Black licorice,B
,,What is the most divisive Thanksgiving food?,multiple_choice,Green Bean Casserole|Cranberry sauce|Sweet Potato Casserole,,MC-ternary (strong),Green Bean Casserole|Cranberry sauce|Sweet Potato Casserole,Green Bean Casserole | Green Bean Casserole | Cranberry sauce | Green Bean Casserole | Sweet Potato Casserole | Cranberry sauce | Green Bean Casserole,B
,,What movie do people quote too much?,multiple_choice,Forrest Gump|Star Wars|Zoolander,,MC-ternary (strong),Forrest Gump|Mean Girls|Anchorman,Forrest Gump | Mean Girls | Anchorman | Forrest Gump | Mean Girls | Forrest Gump | Mean Girls,B
,,What is something expensive that feels cheap?,multiple_choice,Designer Clothing|Printer Ink|College Textbooks|Theme Park Food|Concert Tickets,,Open (free-form),,Luxury brand clothing | Designer clothes that fall apart | Apple accessories | Concert tickets | High-end fashion items | Expensive restaurant food that's bland | Designer t-shirts with cheap material,B
,,What is the worst thing to be allergic to?,multiple_choice,Peanuts|Shellfish|Gluten|Bees|Pollen,,MC (suggested),Peanuts|Water|Bees,Peanuts | Water | Bees | Peanuts | All food | Peanuts | Peanut butter,B
x,,What is a sign that someone grew up wealthy?,open,,,Open (free-form),,A sense of entitlement | Doesn't understand the value of money | A general air of entitlement | Doesn't know how to do basic chores | Acts entitled without realizing it | Expects everything to be handed to them | Doesn't grasp the cost of everyday items,B
x,,What is the worst advice people give all the time?,open,,,Open (no data),,,
x,,Name something you could say at a dinner party and in a courtroom,open,,,Open (no data),,,
,,"If animals could talk, which would be the most annoying?",multiple_choice,Parrot|Chihuahua|Mosquito|Seagull|House Fly,,MC (suggested),Parrot|Chihuahua (or any small yappy dog)|Mosquito,Parrot | Chihuahua (or any small yappy dog) | Mosquito | Parrot | Parrot | Cat (always demanding food) | Parrot,B
x,,What is the most pointless meeting you could imagine?,open,,,Open (free-form),,A meeting to schedule another meeting | Status update where everyone just reads their slides | Meeting about a meeting | Mandatory 'fun' team building | Meeting to plan a future meeting | Meeting to discuss the agenda for the next meeting | A brainstorming session without any clear objective,B
x,,What is the most dramatic way to quit a job?,multiple_choice,Storming out|Quitting via a live video|Leaving a scathing note,,MC (suggested),Storming out|Quitting via a live video|Leaving a scathing note,Storming out | Quitting via a live video | Leaving a scathing note | Storming out | Announcing it on social media | Storming out | Just never showing up again,B
x,,What is the worst thing about potlucks?,multiple_choice,Mystery dishes|Questionable food|Food safety concerns,,MC (suggested),Mystery dishes|Questionable food|Food safety concerns,Mystery dishes | Questionable food | Mystery dishes | Food safety concerns | Mystery dishes | Bad food | Mystery dishes,B
,,What would you put on your tombstone?,multiple_choice,Still Loading...|Worth The Wait|Gone Fishing|I Told You I Was Sick|Game Over,,MC (suggested),"I told you I was sick|Respawning soon|Well, this sucks","I told you I was sick. | Respawning soon. | Well, this sucks. | I told you I was sick. | Game Over. | Finally AFK. | I told you I was sick.",B
x,,"If you had a warning label, what would it say?",multiple_choice,Warning: May contain sarcasm|not disturb before coffee|Warning: Easily distracted,,MC (suggested),Warning: May contain sarcasm|Do not disturb before coffee|Warning: Easily distracted,Warning: May contain sarcasm. | Do not disturb before coffee. | Warning: Easily distracted. | Warning: May contain sarcasm. | Do not disturb before coffee. | Warning: Low battery before noon. | Warning: May contain sarcasm.,B
,,Dogs or cats?,multiple_choice,Dogs|Cats,,MC (suggested),"Dogs|Dogs, definitely|Cats","Dogs | Dogs, definitely | Cats | Dogs | Dogs | Cats, for sure | Dogs all the way",A
,,What is the best gas station snack?,multiple_choice,Chips|Candy bar|Beef jerky,,MC (suggested),Chips|Candy bar|Beef jerky,Chips | Candy bar | Chips | Beef jerky | Chips | Chips | Chips,A
,,What is the best dip for chips?,multiple_choice,Salsa|French Onion Dip|Guacamole,,MC (suggested),Salsa|French Onion Dip|Guacamole,Salsa | Salsa | French Onion Dip | Salsa | Salsa | Guacamole | Salsa,A
,,What is the best stadium food?,multiple_choice,Hot Dog|Nachos|Popcorn,,MC (suggested),Hot Dog|Nachos|Popcorn,Hot Dog | Hot Dog | Nachos | Hot Dog | Hot Dog | Popcorn | Hot Dog,A
,,What is the best movie for family night?,multiple_choice,Toy Story|The Lion King|Home Alone,,MC (suggested),Toy Story|The Lion King|Home Alone,Toy Story | The Lion King | Toy Story | Toy Story | Home Alone | Toy Story | Toy Story,A
x,,Name a song everyone knows the words to,multiple_choice,Happy Birthday|Don't Stop Believin'|Sweet Caroline,,MC (suggested),Happy Birthday|Don't Stop Believin'|Sweet Caroline,Happy Birthday | Happy Birthday | Happy Birthday | Happy Birthday | Don't Stop Believin' | Sweet Caroline | Happy Birthday,A
x,,What is the worst school subject?,multiple_choice,Math|History|English,,MC (suggested),Math|History|English,Math | Math | History | Math | Math | English | Math,A
,,What is the best type of french fry?,multiple_choice,Shoestring|Waffle|Curly|Crinkle Cut|Steak Fry,,MC (suggested),Shoestring|Thin cut|Thin and crispy,Shoestring | Thin cut | Shoestring | Thin and crispy | Shoestring | Waffle | Shoestring,A
,,What is the best type of donut?,multiple_choice,Glazed|Chocolate|Jelly,,MC (suggested),Glazed|Chocolate|Jelly,Glazed | Glazed | Chocolate | Glazed | Jelly | Glazed | Glazed,A
,,What would be the hardest food to give up?,multiple_choice,Pizza|Coffee|Chocolate|Cheese|French Fries,,MC (suggested),Pizza|Coffee|Chocolate,Pizza | Coffee | Chocolate | Pizza | Cheese | Pizza | Pizza,A
